year,month,day,hour,air_temp,dew_point,wind_speed
2009,1,20,18,-7.8,-12.8,46.0
2009,1,20,19,-6.7,-12.8,46.0
2009,1,20,20,-6.7,-12.2,36.0
2009,1,20,21,-7.2,-12.8,41.0
2009,1,20,22,-7.2,-13.3,46.0
2009,1,20,23,-10.6,-15.0,26.0
2009,1,21,0,-11.7,-15.6,26.0
2009,1,21,1,-12.2,-15.6,21.0
2009,1,21,2,-13.9,-15.6,26.0
2009,1,21,3,-12.8,-15.6,26.0
2009,1,21,4,-12.2,-15.0,41.0
2009,1,21,5,-11.1,-14.4,41.0
2009,1,21,6,,,
2009,1,21,7,-10.6,-13.3,31.0
2009,1,21,8,-10.0,-13.9,41.0
2009,1,21,9,-10.0,-13.3,46.0
2009,1,21,10,-10.0,-13.3,62.0
2009,1,21,11,-9.4,-12.8,57.0
2009,1,21,12,-9.4,-12.8,72.0
2009,1,21,13,-9.4,-12.8,62.0
2009,1,21,14,-8.9,-12.8,57.0
2009,1,21,15,-8.3,-12.8,67.0
2009,1,21,16,-7.2,-11.7,51.0
2009,1,21,17,-5.6,-10.6,62.0
2009,1,21,18,-4.4,-9.4,62.0
2009,1,21,19,-4.4,-8.9,62.0
2009,1,21,20,-3.9,-8.9,62.0
2009,1,21,21,-4.4,-8.9,62.0
2009,1,21,22,-5.0,-9.4,51.0
2009,1,21,23,-6.1,-9.4,51.0
2009,1,22,0,-5.0,-8.3,31.0
2009,1,22,1,-5.6,-8.3,36.0
2009,1,22,2,-6.7,-9.4,31.0
2009,1,22,3,-7.2,-9.4,26.0
2009,1,22,4,-7.8,-10.0,26.0
2009,1,22,5,-9.4,-11.1,31.0
2009,1,22,6,,,
2009,1,22,7,-11.1,-12.2,36.0
2009,1,22,8,-11.7,-12.8,36.0
2009,1,22,9,-11.1,-12.8,36.0
2009,1,22,10,-11.7,-12.8,26.0
2009,1,22,11,-12.2,-13.9,31.0
2009,1,22,12,-11.1,-12.2,21.0
2009,1,22,13,-11.1,-12.2,15.0
2009,1,22,14,-11.7,-12.8,0.0
2009,1,22,15,-11.1,-12.8,26.0
2009,1,22,16,-10.0,-12.2,26.0
2009,1,22,17,-8.9,-11.1,21.0
2009,1,22,18,-6.1,-10.0,0.0
2009,1,22,19,-3.9,-9.4,0.0
2009,1,22,20,-5.0,-8.9,15.0
2009,1,22,21,-3.9,-8.3,15.0
2009,1,22,22,-5.6,-8.3,26.0
2009,1,22,23,-3.9,-7.2,21.0
2009,1,23,0,-5.6,-7.2,0.0
2009,1,23,1,-8.3,-8.9,0.0
2009,1,23,2,-7.8,-8.9,0.0
2009,1,23,3,-5.6,-7.2,21.0
2009,1,23,4,-6.7,-8.3,15.0
2009,1,23,5,-8.9,-10.0,15.0
2009,1,23,6,,,
2009,1,23,7,-4.4,-5.6,0.0
2009,1,23,8,-1.7,-3.9,41.0
2009,1,23,9,-1.1,-3.3,41.0
2009,1,23,10,-1.7,-3.9,41.0
2009,1,23,11,-2.8,-5.0,41.0
